ID,Mã Tài Sản (Asset Tag),Mã SpeedMaint,Tên Thiết Bị Y Tế,Model,Số Serial (S/N),Khoa / Phòng Ban,Mã Khoa,Nhóm Chuyên Khoa,Mức Rủi Ro (NĐ98),Hãng Sản Xuất,Xuất Xứ,Năm Sản Xuất,Trạng Thái Vận Hành,Ngày Đưa Vào SD,Ngày Kiểm Định,Hạn Kiểm Định,Số Giấy Chứng Nhận,Số Tem KĐ,Ghi Chú
15,BVQ7-TTB-00015,BM/BVQ7/00015,Máy chụp X-Quang nhũ ảnh,RMF-2000,MACD16923,Khoa Chẩn Đoán Hình Ảnh,CDHA,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
16,BVQ7-TTB-00016,BM/BVQ7/00016,Máy chụp X-Quang kỹ thuật số,DigiRAD-FP,OE51TFR1223002,Khoa Chẩn Đoán Hình Ảnh,CDHA,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
17,BVQ7-TTB-00017,BM/BVQ7/00017,Máy chụp X-Quang kỹ thuật số,FDR Smart FGX-40S,DXD2390163A,Khoa Chẩn Đoán Hình Ảnh,CDHA,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
18,BVQ7-TTB-00018,BM/BVQ7/00018,Máy chụp X-Quang kỹ thuật số,Digi RAD-FP,OE51TFR0264001,Khoa Chẩn Đoán Hình Ảnh,CDHA,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
19,BVQ7-TTB-00019,BM/BVQ7/00019,Máy chụp X-Quang kỹ thuật số,RMF-2000,MADD17023,Khoa Chẩn Đoán Hình Ảnh,CDHA,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
20,BVQ7-TTB-00020,BM/BVQ7/00020,Máy chụp X-Quang kỹ thuật số,Selenia Dimensions 3D,SDM131501673,Khoa Chẩn Đoán Hình Ảnh,CDHA,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
21,BVQ7-TTB-00021,BM/BVQ7/00021,Máy chụp X-Quang kỹ thuật số,FDR Smart FGX-40S,DXD2390165A,Khoa Chẩn Đoán Hình Ảnh,CDHA,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
22,BVQ7-TTB-00022,BM/BVQ7/00022,Máy chụp X-Quang kỹ thuật số,10431700,105379,Khoa Chẩn Đoán Hình Ảnh,CDHA,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
23,BVQ7-TTB-00023,BM/BVQ7/00023,Máy chẩn đoán xơ vữa mạch máu,N/A,03000417,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
24,BVQ7-TTB-00024,BM/BVQ7/00024,Máy chẩn đoán vi khuẩn HP (BreathID),N/A,L286,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
25,BVQ7-TTB-00025,BM/BVQ7/00025,"Cảm biến đo nồng độ bão hòa Oxy trong máu (SpO2), kiểu kẹp tay",N/A,GEN-7210806117032496046,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thận nhân tạo & Lọc máu,Mức A,,,,IN_SERVICE,,,,,,
26,BVQ7-TTB-00026,BM/BVQ7/00026,Máy cạo vôi răng siêu âm,N/A,GEN-9030528284924768005,Khoa Chẩn Đoán Hình Ảnh,CDHA,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
27,BVQ7-TTB-00027,BM/BVQ7/00027,Máy bơm khí kiểm tra rò rỉ,N/A,K,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
28,BVQ7-TTB-00028,BM/BVQ7/00028,Máy siêu âm chẩn đoán,LOGIQ Fortis,02988,Khoa Chẩn Đoán Hình Ảnh,CDHA,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
29,BVQ7-TTB-00029,BM/BVQ7/00029,Máy rửa bô và khử khuẩn,Topline 20,10574161,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
30,BVQ7-TTB-00030,BM/BVQ7/00030,Nồi hấp tiệt trùng,VSC-60L S-60224104,H,Trung Tâm Tiệt Trùng & KSNK (CSSD),CSSD,Thiết bị y tế khác,Mức B,,,,IN_SERVICE,,,,,,
31,BVQ7-TTB-00031,BM/BVQ7/00031,Thiết bị chẩn đoán & điều trị y tế,N/A,04042023,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
32,BVQ7-TTB-00032,BM/BVQ7/00032,Thiết bị chẩn đoán & điều trị y tế,N/A,23062023,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
34,BVQ7-TTB-00034,BM/BVQ7/00034,Máy ly tâm phòng xét nghiệm,N/A,GEN-7444607673142158781,Khoa Xét Nghiệm Y Học,XN,Thiết bị y tế khác,Mức B,,,,IN_SERVICE,,,,,,
35,BVQ7-TTB-00035,BM/BVQ7/00035,Tủ mát bảo quản dược phẩm,N/A,GEN-1239510183533181652,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
36,BVQ7-TTB-00036,BM/BVQ7/00036,Kính hiển vi quang học,N/A,GEN-6454518498773669187,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức B,,,,IN_SERVICE,,,,,,
37,BVQ7-TTB-00037,BM/BVQ7/00037,Máy đo đa ký hô hấp,N/A,GEN-7299646816159388207,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
38,BVQ7-TTB-00038,BM/BVQ7/00038,Ghế máy nha khoa,N/A,GEN-6124183986283276,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
39,BVQ7-TTB-00039,BM/BVQ7/00039,Đèn tẩy trắng răng,ZME3000,GEN-3555137855190430899,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
40,BVQ7-TTB-00040,BM/BVQ7/00040,Máy khoan cưa xương,N/A,GEN-798471831910258027,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
41,BVQ7-TTB-00041,BM/BVQ7/00041,Hệ thống chụp cắt lớp võng mạc (OCT),N/A,GEN-1245879964588060551,Khoa Chẩn Đoán Hình Ảnh,CDHA,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
42,BVQ7-TTB-00042,BM/BVQ7/00042,Máy đo loãng xương,PRODIGY,GEN-7686815871740576816,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
43,BVQ7-TTB-00043,BM/BVQ7/00043,Máy điều trị sóng xung kích,STL-6000 FBNT,GEN-2436820166908099082,Khoa Phục Hồi Chức Năng & YHTT,PHCN,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
44,BVQ7-TTB-00044,BM/BVQ7/00044,Bàn nghiêng tập phục hồi chức năng,9505,GEN-4335124585772376964,Khoa Phục Hồi Chức Năng & YHTT,PHCN,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
45,BVQ7-TTB-00045,BM/BVQ7/00045,Nox Medical - Giay uy quyen,N/A,GEN-2206407962064529276,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
46,BVQ7-TTB-00046,BM/BVQ7/00046,Máy đo đa ký hô hấp,N/A,GEN-6007693971320964456,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
47,BVQ7-TTB-00047,BM/BVQ7/00047,Invoice and packing list,N/A,GEN-3796459090406215725,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
48,BVQ7-TTB-00048,BM/BVQ7/00048,"CO A1, T3s",N/A,GEN-1327546474320608159,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
49,BVQ7-TTB-00049,BM/BVQ7/00049,"CQ A1,T3s",N/A,GEN-7846531221458033374,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
50,BVQ7-TTB-00050,BM/BVQ7/00050,Máy đo đa ký hô hấp,N/A,GEN-2645750592425948290,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
51,BVQ7-TTB-00051,BM/BVQ7/00051,Bản gốc,N/A,GEN-1228150328543606363,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
52,BVQ7-TTB-00052,BM/BVQ7/00052,Máy đo đa ký hô hấp,N/A,GEN-8730947191436559811,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
53,BVQ7-TTB-00053,BM/BVQ7/00053,HSTT ĐỢT 2 HĐ 20230913-003 CALAPHARCO CẬP NHẬP LẠI BBNT,N/A,GEN-7450880453399517348,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
54,BVQ7-TTB-00054,BM/BVQ7/00054,HD 240622 GOLDMED,N/A,GEN-6435989249545648690,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
55,BVQ7-TTB-00055,BM/BVQ7/00055,BBBG+BBNT,N/A,GEN-5823376771762123772,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
56,BVQ7-TTB-00056,BM/BVQ7/00056,BBBG-BBNT,N/A,GEN-2621190140136199488,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
57,BVQ7-TTB-00057,BM/BVQ7/00057,Thiên Trường,N/A,GEN-3051676820427595822,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
58,BVQ7-TTB-00058,BM/BVQ7/00058,Máy chạy thận HDF Online,N/A,GEN-1828450678122296946,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
59,BVQ7-TTB-00059,BM/BVQ7/00059,PL4 HĐ THUÊ TC 1508 2023 AN PHA,N/A,GEN-6678615543148709443,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
60,BVQ7-TTB-00060,BM/BVQ7/00060,PL6 HĐ THUÊ TC 1508 2023 AN PHA,N/A,GEN-4705695477550187944,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
61,BVQ7-TTB-00061,BM/BVQ7/00061,Máy chụp X-Quang nha khoa,N/A,GEN-4343504048716286817,Khoa Chẩn Đoán Hình Ảnh,CDHA,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
62,BVQ7-TTB-00062,BM/BVQ7/00062,TBYT (92),N/A,GEN-8623950683580907283,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
63,BVQ7-TTB-00063,BM/BVQ7/00063,Máy đo điện não (EEG),Arc Essentia EEG,GEN-5887499641665845002,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức B,,,,IN_SERVICE,,,,,,
64,BVQ7-TTB-00064,BM/BVQ7/00064,Nhiệt kế điện tử y tế,MT 550,GEN-6352865601392382234,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
65,BVQ7-TTB-00065,BM/BVQ7/00065,Dao mổ điện cao tần,ZEUS - 150,GEN-4668838047658203806,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Phẫu thuật & Dao mổ điện,Mức C,,,,IN_SERVICE,,,,,,
66,BVQ7-TTB-00066,BM/BVQ7/00066,Kết quả đo độ rung và tiếng ồn,N/A,GEN-5270609185976767451,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
67,BVQ7-TTB-00067,BM/BVQ7/00067,Tủ an toàn sinh học,N/A,GEN-6966397495577096527,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
68,BVQ7-TTB-00068,BM/BVQ7/00068,Máy theo dõi bệnh nhân (Monitor),B125,GEN-9066796292547126627,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Theo dõi bệnh nhân & Điện tim,Mức B,,,,IN_SERVICE,,,,,,
69,BVQ7-TTB-00069,BM/BVQ7/00069,Máy điện tim (ECG),N/A,GEN-1859878533051738684,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Theo dõi bệnh nhân & Điện tim,Mức B,,,,IN_SERVICE,,,,,,
70,BVQ7-TTB-00070,BM/BVQ7/00070,Cân sức khỏe y tế,N/A,GEN-3129147127198472258,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
71,BVQ7-TTB-00071,BM/BVQ7/00071,Máy ly tâm phòng xét nghiệm,N/A,GEN-4270219271658346154,Khoa Xét Nghiệm Y Học,XN,Thiết bị xét nghiệm & lab,Mức B,,,,IN_SERVICE,,,,,,
72,BVQ7-TTB-00072,BM/BVQ7/00072,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-1556062100687177315,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
73,BVQ7-TTB-00073,BM/BVQ7/00073,Nhiệt ẩm kế tự ghi,N/A,GEN-2727057214445979684,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
74,BVQ7-TTB-00074,BM/BVQ7/00074,Nhiệt ẩm kế tự ghi,N/A,GEN-8025679832095606036,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
75,BVQ7-TTB-00075,BM/BVQ7/00075,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-8607493858436120410,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
76,BVQ7-TTB-00076,BM/BVQ7/00076,Máy điện tim (ECG),N/A,GEN-6845560075114015012,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Theo dõi bệnh nhân & Điện tim,Mức B,,,,IN_SERVICE,,,,,,
77,BVQ7-TTB-00077,BM/BVQ7/00077,Dao mổ điện cao tần,N/A,GEN-529357227355194265,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Phẫu thuật & Dao mổ điện,Mức C,,,,IN_SERVICE,,,,,,
78,BVQ7-TTB-00078,BM/BVQ7/00078,Máy thận nhân tạo,N/A,GEN-2175906466914567022,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thận nhân tạo & Lọc máu,Mức C,,,,IN_SERVICE,,,,,,
79,BVQ7-TTB-00079,BM/BVQ7/00079,bể ổn nhiệt T10,N/A,GEN-402233719664571995,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
80,BVQ7-TTB-00080,BM/BVQ7/00080,Máy ly tâm phòng xét nghiệm,N/A,GEN-3077200353498100233,Khoa Xét Nghiệm Y Học,XN,Thiết bị xét nghiệm & lab,Mức B,,,,IN_SERVICE,,,,,,
81,BVQ7-TTB-00081,BM/BVQ7/00081,Nhiệt ẩm kế tự ghi,N/A,GEN-2037984442940775287,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
82,BVQ7-TTB-00082,BM/BVQ7/00082,Nhiệt ẩm kế tự ghi,N/A,GEN-857615677349164588,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
83,BVQ7-TTB-00083,BM/BVQ7/00083,Nồi hấp tiệt trùng,N/A,GEN-39306708365052799,Trung Tâm Tiệt Trùng & KSNK (CSSD),CSSD,Thiết bị tiệt trùng & khử khuẩn,Mức B,,,,IN_SERVICE,,,,,,
84,BVQ7-TTB-00084,BM/BVQ7/00084,Máy phá rung tim,N/A,GEN-1429454595662417678,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Cấp cứu & Máy phá rung tim,Mức D,,,,IN_SERVICE,,,,,,
85,BVQ7-TTB-00085,BM/BVQ7/00085,Nồi hấp tiệt trùng,N/A,GEN-6347490386484124032,Trung Tâm Tiệt Trùng & KSNK (CSSD),CSSD,Thiết bị tiệt trùng & khử khuẩn,Mức B,,,,IN_SERVICE,,,,,,
86,BVQ7-TTB-00086,BM/BVQ7/00086,pipet T10,N/A,GEN-5276950507358812150,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
87,BVQ7-TTB-00087,BM/BVQ7/00087,Nhiệt ẩm kế tự ghi,N/A,GEN-1732859883225489868,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
88,BVQ7-TTB-00088,BM/BVQ7/00088,Nhiệt ẩm kế tự ghi,N/A,GEN-4110032225220182999,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
89,BVQ7-TTB-00089,BM/BVQ7/00089,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-7993872808535646458,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
90,BVQ7-TTB-00090,BM/BVQ7/00090,Dao mổ điện cao tần,ZEUS - 150,GEN-7812071731075317812,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Phẫu thuật & Dao mổ điện,Mức C,,,,IN_SERVICE,,,,,,
91,BVQ7-TTB-00091,BM/BVQ7/00091,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-8336031999975676683,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
92,BVQ7-TTB-00092,BM/BVQ7/00092,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-6985053204514688757,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
93,BVQ7-TTB-00093,BM/BVQ7/00093,Cân sức khỏe y tế,N/A,GEN-3907653854223011759,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
94,BVQ7-TTB-00094,BM/BVQ7/00094,Nhiệt ẩm kế tự ghi,N/A,GEN-5729855299968726304,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
95,BVQ7-TTB-00095,BM/BVQ7/00095,Nhiệt kế điện tử y tế,N/A,GEN-3333818796628629613,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
96,BVQ7-TTB-00096,BM/BVQ7/00096,Máy theo dõi bệnh nhân (Monitor),B125,GEN-1044937657809606439,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Theo dõi bệnh nhân & Điện tim,Mức B,,,,IN_SERVICE,,,,,,
97,BVQ7-TTB-00097,BM/BVQ7/00097,Huyết áp điện tử,N/A,GEN-5351412869210477844,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
98,BVQ7-TTB-00098,BM/BVQ7/00098,Máy điện tim (ECG),N/A,GEN-5892246461592945866,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Theo dõi bệnh nhân & Điện tim,Mức B,,,,IN_SERVICE,,,,,,
99,BVQ7-TTB-00099,BM/BVQ7/00099,Nhiệt ẩm kế tự ghi,N/A,GEN-7758408612430278974,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
100,BVQ7-TTB-00100,BM/BVQ7/00100,tnt Fresenius,N/A,GEN-4822807722255273804,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
101,BVQ7-TTB-00101,BM/BVQ7/00101,RO máy rửa quả lọc TNT,N/A,GEN-5379028198845413896,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thận nhân tạo & Lọc máu,Mức A,,,,IN_SERVICE,,,,,,
102,BVQ7-TTB-00102,BM/BVQ7/00102,RO máy thận TNT,N/A,GEN-8997488290805267454,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thận nhân tạo & Lọc máu,Mức A,,,,IN_SERVICE,,,,,,
103,BVQ7-TTB-00103,BM/BVQ7/00103,tủ ATSH,N/A,GEN-2345121592373388680,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
105,BVQ7-TTB-00105,BM/BVQ7/00105,Nghiệm Thu - xác nhận khối lượng CV,N/A,GEN-505182599058816871,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
106,BVQ7-TTB-00106,BM/BVQ7/00106,Scan NT,N/A,GEN-8645621475257796932,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
107,BVQ7-TTB-00107,BM/BVQ7/00107,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-7924783194162342329,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
108,BVQ7-TTB-00108,BM/BVQ7/00108,Cân sức khỏe y tế,N/A,GEN-6162949674790183191,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
109,BVQ7-TTB-00109,BM/BVQ7/00109,Máy thở chuyên dụng,TV-100,GEN-5575896091050399779,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Máy thở & Hô hấp,Mức D,,,,IN_SERVICE,,,,,,
